track_id,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
6145430,135,C#,Major,41,27,64,36,0,60,3
6386843,87,E,Minor,49,49,59,44,0,35,21
8360758,111,G#,Major,77,74,66,30,0,13,3
7432867,110,D,Major,75,85,84,10,0,31,19
8480431,130,C#,Major,66,19,61,30,0,9,7
7748090,179,G#,Minor,61,76,51,30,0,38,15
2468710,93,F,Minor,74,53,73,61,0,13,4
7175350,78,A,Minor,27,10,49,62,0,49,5
4923571,180,D,Major,65,37,58,2,0,4,31
2717112,86,A,Minor,28,13,41,50,0,19,3
2636311,88,C#,Minor,74,55,85,1,0,5,22
7068825,97,C#,Major,68,72,78,4,0,7,5
2052397,134,B,Minor,71,59,80,13,0,36,5
8672552,116,D,Major,75,36,76,12,0,10,10
8990379,170,E,Minor,64,14,70,9,0,9,8
2320654,140,C#,Minor,83,40,55,16,0,14,23
1001428,118,G,Minor,75,46,76,3,0,9,4
5737293,65,,Major,31,31,24,76,0,14,4
7368008,120,,Minor,56,16,67,0,0,11,4
