track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
1928790,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350
6735267,Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989
1961503,Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784
3451143,Sure Thing,Miguel,1,2010,5,25,13801,19,950906471
6552512,Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737
1630789,The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830
4242212,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533
3509026,When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319
1611239,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173
6609930,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466
2664577,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445
8580552,Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617
6720570,������������,YOASOBI,1,2023,4,12,356,16,143573775
6320673,Reminder,The Weeknd,1,2016,11,25,6518,17,684675814
2031309,Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873
5999455,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350
5675634,SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468
4299313,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890
4795987,Night Changes,One Direction,1,2014,11,17,7124,18,1131090940
5836808,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144
6316146,Creep,Radiohead,1,1992,9,21,36724,7,1271293243
4812397,Car's Outside,James Arthur,1,2019,10,18,794,10,265882712
1323431,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534
6293464,Cheques,Shubh,1,2023,5,19,67,8,47956378
8897005,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070
2020928,Circles,Post Malone,1,2019,8,30,19664,16,2132335812
2008299,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668
7256696,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446
4031115,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268
3090144,You Belong With Me (Taylor���s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515
6322459,Titi Me Pregunt�,Bad Bunny,1,2022,5,6,9037,42,1264310836
3054476,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206
4341380,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812
6250958,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611
6057014,Es un Secreto,Plan B,1,2010,7,20,492,36,540654286
7948655,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735
5279142,Ditto,NewJeans,1,2022,12,19,1154,22,397582059
7451979,Take On Me,a-ha,1,1984,10,19,44927,17,1479115056
6470158,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632
8666108,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727
6136667,Acr��s,Shakira,1,2023,5,11,955,29,123124076
8123858,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958
3747351,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040
1274739,S-Class,Stray Kids,1,2023,6,2,290,19,65496046
2101565,Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963
1710471,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990
8125634,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975
2969049,Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496
6271365,Abcdario,"Junior H, Eden Mu��",2,2023,5,13,262,5,89933133
4004325,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139
5229182,Pi��man De�,"Semicenk, Do��u ",2,2023,6,2,185,3,43522589
4837745,FLOWER,JISOO,1,2023,3,31,839,18,232896922
