track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
2150360,5,0,4,0,1
2987518,20,4,52,0,1
6577689,32,0,49,0,0
6327262,124,24,254,0,8
2102834,46,8,60,0,0
1828295,27,2,31,0,0
3555344,6,188,20,0,0
4096612,229,57,"1,370",2,71
4830246,10,2,13,0,1
2977289,85,24,200,0,2
5906167,203,1,"8,215",0,0
5897675,32,6,46,0,1
5350195,34,39,30,0,0
3108040,16,14,7,0,0
5324238,228,105,"2,453",0,84
2188178,289,87,"2,430",0,36
1109166,52,16,65,0,206
7173596,242,49,272,21,24
8555603,38,13,32,0,0
8956923,27,44,24,0,5
2786767,7,30,13,1,1
3184472,4,5,12,0,51
6177084,4,0,22,0,0
4764570,7,21,11,0,0
1493023,20,10,33,0,0
4528930,42,28,43,0,0
5617904,9,11,22,1,0
2861036,22,0,23,0,0
3122686,8,25,18,1,0
1671724,3,7,13,0,1
5848183,8,30,13,1,1
1532080,10,24,11,0,0
7513238,4,1,6,0,0
7762851,9,0,8,0,0
2166194,5,28,9,0,0
3647986,10,30,13,0,33
3186172,1,0,5,0,0
1633065,4,15,10,0,0
6774092,7,0,7,0,0
8457557,8,12,9,0,0
3833877,48,4,34,1,0
2848319,7,25,12,0,0
6339593,9,7,14,0,1
6990936,162,116,355,7,0
6347306,35,0,3,0,0
4940529,6,20,8,0,0
7498965,10,2,150,0,0
5005107,1,0,3,0,0
6062396,16,81,23,0,0
4627428,48,40,87,1,210
5264430,0,0,0,0,0
2226206,93,12,173,11,3
7036044,10,4,4,0,0
8779560,52,9,46,0,1
7556948,2,0,10,0,0
1713130,1,0,4,0,0
1545230,28,42,23,0,0
5087776,2,0,4,0,0
1593131,16,11,18,0,0
4487193,19,0,7,0,0
3635714,0,0,3,0,0
6829928,10,22,3,0,0
2612867,3,0,2,0,0
2142936,23,16,9,0,5
6429519,135,74,119,1,18
2830739,15,3,3,0,0
2442031,26,1,17,0,0
5975489,5,29,14,0,0
8033263,31,0,19,0,2
8654169,18,75,9,0,0
6642483,23,1,15,0,0
1230186,42,51,32,0,0
8272175,4,35,11,1,1
8262886,137,5,582,0,0
6509365,29,0,30,0,0
5400474,5,0,5,0,0
6107475,26,2,15,0,2
4824782,11,6,25,0,1
3933523,42,9,24,1,1
4070434,32,110,26,0,0
5477581,5,132,17,0,3
1041777,80,11,66,0,1
5154676,29,10,79,0,0
4618597,5,40,12,0,0
1436447,21,11,40,0,0
7321459,79,13,93,0,17
7688790,34,0,29,0,0
3169976,73,45,119,0,0
4845139,0,18,6,0,0
2307433,20,3,39,0,0
7220913,36,1,31,0,1
7503630,23,1,44,1,0
4505539,43,28,79,0,208
8729578,54,76,900,0,0
4012549,26,16,17,0,1
6193307,13,2,31,0,0
8507943,7,1,15,0,0
2230668,51,14,19,0,0
3380441,109,38,301,1,33
2079115,8,1,18,0,0
7697062,18,1,28,0,0
1771212,19,0,15,0,0
2061482,90,22,365,0,114
8238387,63,8,270,2,105
7543802,15,1,23,0,0
5409588,107,76,86,1,9
3786238,0,0,2,0,0
4944285,33,60,107,1,0
4342968,139,73,142,0,5
2699923,38,79,65,0,1
5141433,12,1,8,0,1
4671002,26,2,30,0,0
1539892,4,106,0,0,7
2645476,16,5,0,0,6
4809507,5,36,1,0,0
1024668,112,198,406,1,0
8121763,222,61,259,14,2
8090551,37,2,38,2,0
7531207,66,89,61,0,11
6549461,45,2,26,0,1
1392259,26,18,15,1,4
7629327,19,21,14,0,2
6644972,18,124,24,1,0
5678676,6,52,11,0,0
7080917,228,151,"6,720",3,99
8555295,156,275,150,3,128
3814670,3,0,63,0,353
6670857,38,105,25,0,2
6621439,11,0,2,0,0
3070266,28,0,54,0,0
5565096,49,3,57,0,0
6191375,25,0,22,0,0
4566008,129,55,128,0,101
8917301,17,0,24,0,30
7502400,16,15,20,0,0
6270180,53,2,33,0,0
6485441,51,1,50,0,0
2797126,17,12,15,0,0
6604479,23,10,18,0,0
5686736,13,18,12,0,0
5337859,39,47,36,0,0
6373026,38,266,78,0,141
5724140,14,141,9,0,1
6403499,17,10,16,0,4
8171348,28,67,195,0,0
6364406,10,43,3,1,0
8455676,63,39,"1,315",0,2
2489568,54,6,124,1,0
7158907,15,79,4,2,0
8174616,15,33,6,1,0
2773298,81,4,248,1,6
6046483,22,2,65,1,3
1346774,165,10,177,4,73
8693885,93,95,84,9,202
2357691,20,129,11,0,12
3968436,33,11,274,0,0
4130067,102,53,113,12,0
4363557,14,77,15,1,2
3284752,49,1,67,11,1
2939499,20,49,23,2,2
2352439,117,72,107,1,7
5283123,25,36,25,1,0
4758406,21,15,13,0,0
7890756,124,25,"7,827",1,0
2059327,24,0,805,0,0
5086845,10,1,8,0,0
3827200,6,1,6,0,0
3210546,15,0,0,0,0
3317105,18,10,13,1,1
7512111,3,0,2,0,0
1532170,38,0,24,0,0
6321372,78,65,328,1,198
8143341,16,0,9,0,0
6026926,14,1,13,0,0
7691321,14,116,9,0,11
7807270,77,10,119,0,40
5476124,31,21,15,0,4
4579313,41,0,158,2,68
3533833,86,14,80,0,37
5095829,2,129,13,0,1
7243247,0,0,31,0,
3476652,36,38,13,0,3
7654973,14,12,12,2,28
1769305,0,0,30,0,0
5974857,22,7,15,0,0
2598352,24,8,17,0,1
7270435,12,9,16,0,0
5899602,10,3,12,0,0
3035987,9,20,7,0,0
6590514,7,5,13,0,0
3506706,26,9,17,0,3
6372213,6,3,15,0,0
1438195,26,52,10,0,95
1386595,9,6,13,0,2
8471839,4,5,8,0,0
3984533,8,1,7,0,0
4322356,6,5,3,0,0
4343383,10,100,15,1,27
3108815,8,5,2,0,0
8174233,3,8,5,0,0
1587452,1,6,11,0,0
3476877,61,13,37,1,0
2341529,4,0,8,0,0
8553734,2,0,7,0,0
6773043,29,26,17,0,0
6728037,27,18,32,1,0
